Event	ID	Name			Wwise Object Path	Notes
	290290980	LevelUpAbsorbPre			\Default Work Unit\UI\LevelUp-Pannels\LevelUpAbsorbPre	
	485562711	Assassin_Idle			\Default Work Unit\Menu\Spawns\Assassin\Assassin_Idle	
	577229521	UIFightClick			\Default Work Unit\UI\Clicks\UIFightClick	
	769784615	UISelectChar			\Default Work Unit\UI\Clicks\UISelectChar	
	863983762	DeathKnight_Spawn			\Default Work Unit\Menu\Spawns\DeathKnight_Spawn	
	874858215	UIRuneRemove			\Default Work Unit\UI\Clicks\UIRuneRemove	
	1074254744	MenuStop			\Default Work Unit\Menu\MenuStop	
	1312131451	UIError			\Default Work Unit\UI\Clicks\UIError	
	1440023300	UIChooseChar			\Default Work Unit\UI\Clicks\UIChooseChar	
	1505949716	Necromancer_Weapon3			\Default Work Unit\Menu\Spawns\Necromancer\Necromancer_Weapon3	
	1505949717	Necromancer_Weapon2			\Default Work Unit\Menu\Spawns\Necromancer\Necromancer_Weapon2	
	1505949718	Necromancer_Weapon1			\Default Work Unit\Menu\Spawns\Necromancer\Necromancer_Weapon1	
	2004165450	Legionnaire_Spawn			\Default Work Unit\Menu\Spawns\Legionnaire_Spawn	
	2048166989	BloodMage_Spawn			\Default Work Unit\Menu\Spawns\BloodMage_Spawn	
	2146261817	Barbarian_Weapon1			\Default Work Unit\Menu\Spawns\Barbarian\Barbarian_Weapon1	
	2146261818	Barbarian_Weapon2			\Default Work Unit\Menu\Spawns\Barbarian\Barbarian_Weapon2	
	2146261819	Barbarian_Weapon3			\Default Work Unit\Menu\Spawns\Barbarian\Barbarian_Weapon3	
	2146261820	Barbarian_Weapon4			\Default Work Unit\Menu\Spawns\Barbarian\Barbarian_Weapon4	
	2220870935	UIOptions			\Default Work Unit\UI\Clicks\UIOptions	
	2226433085	UIScreenWhoosh			\Default Work Unit\UI\Clicks\UIScreenWhoosh	
	2426212148	SFX_3D_Bonfire			\Default Work Unit\Ambient\3D_SFX\SFX_3D_Bonfire	
	2431619546	Paladin_Spawn			\Default Work Unit\Menu\Spawns\Paladin_Spawn	
	2501838063	ArcaneWeaver_Spawn			\Default Work Unit\Menu\Spawns\ArcaneWeaver_Spawn	
	2529895901	UIBlacksmith			\Default Work Unit\UI\Clicks\UIBlacksmith	
	2590342745	Barbarian_Spawn			\Default Work Unit\Menu\Spawns\Barbarian\Barbarian_Spawn	
	2657456088	Elementalist_Spawn			\Default Work Unit\Menu\Spawns\Elementalist_Spawn	
	2738363245	UISubmenuAppear			\Default Work Unit\UI\Clicks\UISubmenuAppear	
	2933303664	HoundMaster_Weapon2			\Default Work Unit\Menu\Spawns\HoundMaster\HoundMaster_Weapon2	
	2933303665	HoundMaster_Weapon3			\Default Work Unit\Menu\Spawns\HoundMaster\HoundMaster_Weapon3	
	2933303667	HoundMaster_Weapon1			\Default Work Unit\Menu\Spawns\HoundMaster\HoundMaster_Weapon1	
	2933303670	HoundMaster_Weapon4			\Default Work Unit\Menu\Spawns\HoundMaster\HoundMaster_Weapon4	
	3015969337	UIReroll			\Default Work Unit\UI\Clicks\UIReroll	
	3030481697	UIClose			\Default Work Unit\UI\Clicks\UIClose	
	3096654377	Sentinel_Spawn			\Default Work Unit\Menu\Spawns\Sentinel_Spawn	
	3241156723	HoundMaster_Spawn			\Default Work Unit\Menu\Spawns\HoundMaster\HoundMaster_Spawn	
	3344707655	LevelUpPannelAppear			\Default Work Unit\UI\LevelUp-Pannels\LevelUpPannelAppear	
	3365125475	Spellbreaker_Spawn			\Default Work Unit\Menu\Spawns\Spellbreaker_Spawn	
	3405855616	Beastmaster_Spawn			\Default Work Unit\Menu\Spawns\Beastmaster_Spawn	
	3508088636	defaultWarning			\Default Work Unit\UI\Clicks\defaultWarning	
	3556530939	LevelUpPannelDisappear			\Default Work Unit\UI\LevelUp-Pannels\LevelUpPannelDisappear	
	3647089368	UICheckbox			\Default Work Unit\UI\Clicks\UICheckbox	
	3658588233	SFX_3D_TorchStick			\Default Work Unit\Ambient\3D_SFX\SFX_3D_TorchStick	
	3690797171	Assassin_Weapon4			\Default Work Unit\Menu\Spawns\Assassin\Assassin_Weapon4	
	3690797172	Assassin_Weapon3			\Default Work Unit\Menu\Spawns\Assassin\Assassin_Weapon3	
	3690797173	Assassin_Weapon2			\Default Work Unit\Menu\Spawns\Assassin\Assassin_Weapon2	
	3690797174	Assassin_Weapon1			\Default Work Unit\Menu\Spawns\Assassin\Assassin_Weapon1	
	3711598968	MenuClick			\Default Work Unit\UI\Clicks\MenuClick	
	3779992502	Necromancer_Spawn			\Default Work Unit\Menu\Spawns\Necromancer\Necromancer_Spawn	
	3829525017	LevelUpSkillSelect			\Default Work Unit\UI\Clicks\LevelUpSkillSelect	
	3885072173	Rogue_Spawn			\Default Work Unit\Menu\Spawns\Assassin\Rogue_Spawn	
	4013684185	UIRuneEquip			\Default Work Unit\UI\Clicks\UIRuneEquip	
	4222785659	Pyromancer_Spawn			\Default Work Unit\Menu\Spawns\Pyromancer_Spawn	

Effect plug-ins	ID	Name	Type				Notes
	1416967478	All_Buttons_IN	Wwise Compressor			
	1520064353	Hall_Medium_Bright	Wwise RoomVerb			
	3350515461	UISend	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7456773	DeathKnight_Spawn_Low_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\DeathKnight_Spawn_Low_1_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\DeathKnight\Spawn_Foley\Spawn_Low\DeathKnight_Spawn_Low_1		39375
	9146442	Blacksmith-Click_B_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Blacksmith-Click_B_2_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI-Blacksmith\Blacksmith-Click_B_2		30687
	12124270	Barbarian_Spawn_Step_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Barbarian_Spawn_Step_1_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Barbarian\Barbarian-Spawn\Barbarian-Spawn-Foley\Barbarian_Spawn_Step_1		35463
	16223915	Spellbreaker_Spawn_Foot_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Spellbreaker_Spawn_Foot_1_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Spellbreaker\Foley\Footstep\Spellbreaker_Spawn_Foot_1		47422
	32878289	LightningStab_Cast_3	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\LightningStab_Cast_3_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Skills\LightningStab\LightningStab\LightningStab_Cast_3		27311
	44171311	Menu-Whoosh_5	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Menu-Whoosh_5_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Whooshes\Menu-Whoosh_5		20918
	60629937	Brazier_Loop_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Brazier_Loop_2_ED03DE89.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambient\3DAmbience\Brazier-New\Brazier_Loop_2		199569
	61188252	Menu-SubmenusAppear	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Menu-SubmenusAppear_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Menu-SubmenusAppear		25794
	64780509	Paladin_Spawn_Foley_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Paladin_Spawn_Foley_2_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Paladin\Foley\Paladin_Spawn_Foley_2		39809
	68908375	Barbarian-Menu-Weapon-VX_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Barbarian-Menu-Weapon-VX_2_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Barbarian\Barbarian-Weapons\Barbarian-Weapons-VX\Barbarian-Menu-Weapon-VX_2		27607
	100519649	UI-Error	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\UI-Error_CBB5447E.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI-Error		4934
	113528842	Menu-Assassin-Weapon-1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Menu-Assassin-Weapon-3_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Assassin\Assassin-Weapons\Assassin-Weapons\Menu-Assassin-Weapon-1		25773
	130285622	BeaconOfLight_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\BeaconOfLight_2_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Elementalist\Spawn_Magic\BeaconOfLight_2		35238
	136935718	UI-SelectChar_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\UI-SelectChar_1_CBB5447E.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI-SelectChar_1		8761
	138710195	Spellbreaker_Spawn_Foot_3b	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Spellbreaker_Spawn_Foot_3b_7AA6820A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Char-Spawns\Spellbreaker\Foley\Footstep\Spellbreaker_Spawn_Foot_3b		52929
